Year,SERIES,STATINFO,UNIT_MEASURE,Value
2015,sdg_15_42,VAL_A,KM2,1599
2017,sdg_15_42,VAL_A,KM2,4255
2019,sdg_15_42,VAL_A,KM2,15
2020,sdg_15_42,VAL_A,KM2,723
2021,sdg_15_42,VAL_A,KM2,4857
2022,sdg_15_42,VAL_A,KM2,23788
2023,sdg_15_42,VAL_A,KM2,667
2024,sdg_15_42,VAL_A,KM2,2034
2015,sdg_15_42,VAL_A,PT,3.1
2017,sdg_15_42,VAL_A,PT,8.3
2019,sdg_15_42,VAL_A,PT,0
2020,sdg_15_42,VAL_A,PT,1.4
2021,sdg_15_42,VAL_A,PT,9.6
2022,sdg_15_42,VAL_A,PT,46.8
2023,sdg_15_42,VAL_A,PT,1.3
2024,sdg_15_42,VAL_A,PT,4.0
2015,sdg_15_42,AVG_10Y,KM2,2562
2016,sdg_15_42,AVG_10Y,KM2,2562
2017,sdg_15_42,AVG_10Y,KM2,2941
2018,sdg_15_42,AVG_10Y,KM2,2934
2019,sdg_15_42,AVG_10Y,KM2,2935
2020,sdg_15_42,AVG_10Y,KM2,3008
2021,sdg_15_42,AVG_10Y,KM2,3416
2022,sdg_15_42,AVG_10Y,KM2,3694
2023,sdg_15_42,AVG_10Y,KM2,3588
2024,sdg_15_42,AVG_10Y,KM2,3791
2015,sdg_15_42,AVG_10Y,PT,5.0
2016,sdg_15_42,AVG_10Y,PT,5.0
2017,sdg_15_42,AVG_10Y,PT,5.8
2018,sdg_15_42,AVG_10Y,PT,5.8
2019,sdg_15_42,AVG_10Y,PT,5.8
2020,sdg_15_42,AVG_10Y,PT,5.9
2021,sdg_15_42,AVG_10Y,PT,6.7
2022,sdg_15_42,AVG_10Y,PT,7.3
2023,sdg_15_42,AVG_10Y,PT,7.1
2024,sdg_15_42,AVG_10Y,PT,7.5
